name,version,license,classification,direct_dependency,integrity,resolved
@eslint/js,10.0.1,MIT,development,yes,sha512-zeR9k5pd4gxjZ0abRoIaxdc7I3nDktoXZk2qOv9gCNWx3mVwEn32VRhyLaRsDiJjTs0xq/T8mfPtyuXu7GWBcA==,https://registry.npmjs.org/@eslint/js/-/js-10.0.1.tgz
@eslint/object-schema,3.0.3,Apache-2.0,development,no,sha512-iM869Pugn9Nsxbh/YHRqYiqd23AmIbxJOcpUMOuWCVNdoQJ5ZtwL6h3t0bcZzJUlC3Dq9jCFCESBZnX0GTv7iQ==,https://registry.npmjs.org/@eslint/object-schema/-/object-schema-3.0.3.tgz
@eslint/plugin-kit,0.6.1,Apache-2.0,development,no,sha512-iH1B076HoAshH1mLpHMgwdGeTs0CYwL0SPMkGuSebZrwBp16v415e9NZXg2jtrqPVQjf6IANe2Vtlr5KswtcZQ==,https://registry.npmjs.org/@eslint/plugin-kit/-/plugin-kit-0.6.1.tgz
@humanfs/core,0.19.1,Apache-2.0,development,no,sha512-5DyQ4+1JEUzejeK1JGICcideyfUbGixgS9jNgex5nqkW+cY7WZhxBigmieN5Qnw9ZosSNVC9KQKyb+GUaGyKUA==,https://registry.npmjs.org/@humanfs/core/-/core-0.19.1.tgz
@humanfs/node,0.16.7,Apache-2.0,development,no,sha512-/zUx+yOsIrG4Y43Eh2peDeKCxlRt/gET6aHfaKpuq267qXdYDFViVHfMaLyygZOnl0kGWxFIgsBy8QFuTLUXEQ==,https://registry.npmjs.org/@humanfs/node/-/node-0.16.7.tgz
@humanwhocodes/module-importer,1.0.1,Apache-2.0,development,no,sha512-bxveV4V8v5Yb4ncFTT3rPSgZBOpCkjfK0y4oVVVJwIuDVBRMDXrPyXRL988i5ap9m9bnyEEjWfm5WkBmtffLfA==,https://registry.npmjs.org/@humanwhocodes/module-importer/-/module-importer-1.0.1.tgz
@humanwhocodes/retry,0.4.3,Apache-2.0,development,no,sha512-bV0Tgo9K4hfPCek+aMAn81RppFKv2ySDQeMoSZuvTASywNTnVJCArCZE2FWqpvIatKu7VMRLWlR1EazvVhDyhQ==,https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz
@jridgewell/gen-mapping,0.3.13,MIT,development,no,sha512-2kkt/7niJ6MgEPxF0bYdQ6etZaA+fQvDcLKckhy1yIQOzaoKjBBjSj63/aLVjYE3qhRt5dvM+uUyfCg6UKCBbA==,https://registry.npmjs.org/@jridgewell/gen-mapping/-/gen-mapping-0.3.13.tgz
@jridgewell/remapping,2.3.5,MIT,development,no,sha512-LI9u/+laYG4Ds1TDKSJW2YPrIlcVYOwi2fUC6xB43lueCjgxV4lffOCZCtYFiH6TNOX+tQKXx97T4IKHbhyHEQ==,https://registry.npmjs.org/@jridgewell/remapping/-/remapping-2.3.5.tgz
@jridgewell/resolve-uri,3.1.2,MIT,development,no,sha512-bRISgCIjP20/tbWSPWMEi54QVPRZExkuD9lJL+UIxUKtwVJA8wW1Trb1jMs1RFXo1CBTNZ/5hpC9QvmKWdopKw==,https://registry.npmjs.org/@jridgewell/resolve-uri/-/resolve-uri-3.1.2.tgz
@jridgewell/sourcemap-codec,1.5.5,MIT,development,no,sha512-cYQ9310grqxueWbl+WuIUIaiUaDcj7WOq5fVhEljNVgRfOUhY9fy2zTvfoqWsnebh8Sl70VScFbICvJnLKB0Og==,https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz
@jridgewell/trace-mapping,0.3.31,MIT,development,no,sha512-zzNR+SdQSDJzc8joaeP8QQoCQr8NuYx2dIIytl1QeBEZHJ9uW6hebsrYgbz8hJwUQao3TWCMtmfV8Nu1twOLAw==,https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.31.tgz
@polka/url,1.0.0-next.29,MIT,development,no,sha512-wwQAWhWSuHaag8c4q/KN/vCoeOJYshAIvMQwD4GpSb3OiZklFfvAgmj0VCBBImRpuF/aFgIRzllXlVX93Jevww==,https://registry.npmjs.org/@polka/url/-/url-1.0.0-next.29.tgz
@rollup/plugin-commonjs,29.0.2,MIT,development,no,sha512-S/ggWH1LU7jTyi9DxZOKyxpVd4hF/OZ0JrEbeLjXk/DFXwRny0tjD2c992zOUYQobLrVkRVMDdmHP16HKP7GRg==,https://registry.npmjs.org/@rollup/plugin-commonjs/-/plugin-commonjs-29.0.2.tgz
@rollup/plugin-json,6.1.0,MIT,development,no,sha512-EGI2te5ENk1coGeADSIwZ7G2Q8CJS2sF120T7jLw4xFw9n7wIOXHo+kIYRAoVpJAN+kmqZSoO3Fp4JtoNF4ReA==,https://registry.npmjs.org/@rollup/plugin-json/-/plugin-json-6.1.0.tgz
@rollup/plugin-node-resolve,16.0.3,MIT,development,no,sha512-lUYM3UBGuM93CnMPG1YocWu7X802BrNF3jW2zny5gQyLQgRFJhV1Sq0Zi74+dh/6NBx1DxFC4b4GXg9wUCG5Qg==,https://registry.npmjs.org/@rollup/plugin-node-resolve/-/plugin-node-resolve-16.0.3.tgz
@rollup/pluginutils,5.3.0,MIT,development,no,sha512-5EdhGZtnu3V88ces7s53hhfK5KSASnJZv8Lulpc04cWO3REESroJXg73DFsOmgbU2BhwV0E20bu2IDZb3VKW4Q==,https://registry.npmjs.org/@rollup/pluginutils/-/pluginutils-5.3.0.tgz
@rollup/rollup-android-arm-eabi,4.60.0,MIT,development,no,sha512-WOhNW9K8bR3kf4zLxbfg6Pxu2ybOUbB2AjMDHSQx86LIF4rH4Ft7vmMwNt0loO0eonglSNy4cpD3MKXXKQu0/A==,https://registry.npmjs.org/@rollup/rollup-android-arm-eabi/-/rollup-android-arm-eabi-4.60.0.tgz
@rollup/rollup-android-arm64,4.60.0,MIT,development,no,sha512-u6JHLll5QKRvjciE78bQXDmqRqNs5M/3GVqZeMwvmjaNODJih/WIrJlFVEihvV0MiYFmd+ZyPr9wxOVbPAG2Iw==,https://registry.npmjs.org/@rollup/rollup-android-arm64/-/rollup-android-arm64-4.60.0.tgz
